# Data from NWS-APRFC_AK_BreakupDate.csv
# Only sites with more than 17 data points since 1980
# 
,id,siteID,year,breakup,JulianDay
0,7185,Chena River at Fairbanks,2023,2023-04-30,120
1,7186,Kuskokwim River at Nikolai,2023,2023-05-02,122
2,7187,Skwentna River at Skwentna,2023,2023-05-07,127
3,7188,Gakona River at Gakona,2023,2023-05-05,125
4,7189,Gulkana River nr Gakona,2023,2023-05-02,122
5,7190,Tanana River at Nenana,2023,2023-05-08,128
6,7191,Yukon River at Dawson,2023,2023-05-09,129
7,7192,Yentna River at Lake Creek,2023,2023-05-09,129
8,7193,Susitna River at Sunshine,2023,2023-05-10,130
9,7195,Yukon River at Eagle,2023,2023-05-12,132
10,7196,Kuskokwim River at Stony River,2023,2023-05-12,132
11,7197,Kuskokwim River at Sleetmute,2023,2023-05-12,132
12,7198,Tanana River nr Manley Hot Springs,2023,2023-05-12,132
13,7199,Kuskokwim River at McGrath,2023,2023-05-13,133
14,7200,Kuskokwim River at Red Devil,2023,2023-05-13,133
15,7201,Kuskokwim River at Crooked Creek,2023,2023-05-13,133
16,7203,Koyukuk River at Allakaket,2023,2023-05-13,133
17,7204,Yukon River at Tanana,2023,2023-05-14,134
18,7205,Yukon River at Fort Yukon,2023,2023-05-14,134
19,7206,Yukon River at Circle,2023,2023-05-13,133
20,7207,Koyukuk River at Bettles,2023,2023-05-13,133
21,7208,Koyukuk River at Hughes,2023,2023-05-14,134
22,7209,Yukon River at Rampart,2023,2023-05-16,136
23,7210,Yukon River at Beaver,2023,2022-05-15,135
24,7211,Kuskokwim River at Aniak,2023,2022-05-15,135
25,7212,Yukon River at Ruby,2023,2023-05-17,137
26,7213,Kuskokwim River at Kalskag,2023,2023-05-15,135
27,7214,Kuskokwim River at Tuluksak,2023,2023-05-18,138
28,7215,Kuskokwim River at Akiak,2023,2023-05-18,138
29,7217,Yukon River at Stevens Village,2023,2023-05-16,136
30,7218,Yukon River at Galena,2023,2023-05-19,139
31,7220,Kuskokwim River at Bethel,2023,2023-05-20,140
32,7221,Yukon River at Kaltag,2023,2023-05-18,138
33,7222,Yukon River at Nulato,2023,2023-05-18,138
34,7223,Yukon River at Holy Cross,2023,2023-05-19,139
35,7224,Yukon River at Anvik,2023,2023-05-19,139
36,7225,Yukon River at Koyukuk,2023,2023-05-17,137
37,7226,Buckland River at Buckland,2023,2023-05-19,139
38,7227,Kuskokwim River at Napakiak,2023,2023-05-20,140
39,7230,Kobuk River at Kobuk,2023,2023-05-20,140
40,7231,Colville River at Umiat,2023,2023-05-22,142
41,7232,Yukon River at Russian Mission,2023,2023-05-25,145
42,7233,Yukon River at Mountain Village,2023,2023-05-23,143
43,7234,Yukon River at Pilot Station,2023,2023-05-25,145
44,7235,Yukon River at Alakanuk,2023,2023-05-27,147
45,7236,Yukon River nr Emmonak,2023,2023-05-27,147
46,7237,Noatak River at Noatak,2023,2023-05-21,141
47,7238,Yukon River at Marshall,2023,2023-05-25,145
48,7123,Anchor River at Anchor Point,2022,2022-04-01,91
49,7124,Kuskokwim River at Nikolai,2022,2022-04-25,115
50,7125,Chisana River at Northway,2022,2022-04-27,117
51,7128,Chena River at Fairbanks,2022,2022-04-30,120
52,7129,Tanana River at Nenana,2022,2022-05-02,122
53,7132,Kuskokwim River at Bethel,2022,2022-05-05,125
54,7133,Kuskokwim River at Stony River,2022,2022-05-05,125
55,7134,Kuskokwim River at Aniak,2022,2022-05-01,121
56,7135,Yukon River at Eagle,2022,2022-05-07,127
57,7136,Yukon River at Dawson,2022,2022-05-07,127
58,7137,Susitna River at Sunshine,2022,2022-05-05,125
59,7138,Yukon River at Circle,2022,2022-05-09,129
60,7139,Koyukuk River at Allakaket,2022,2022-05-06,126
61,7140,Koyukuk River at Hughes,2022,2022-05-08,128
62,7142,Yukon River at Tanana,2022,2022-05-09,129
63,7143,Skwentna River at Skwentna,2022,2022-04-27,117
64,7144,Yentna River at Lake Creek,2022,2022-05-05,125
65,7145,Kuskokwim River at McGrath,2022,2022-05-09,129
66,7146,Yukon River at Ruby,2022,2022-05-11,131
67,7147,Kuskokwim River at Akiak,2022,2022-05-05,125
68,7148,Kuskokwim River at Sleetmute,2022,2022-05-08,128
69,7149,Kuskokwim River at Red Devil,2022,2022-05-08,128
70,7150,Kuskokwim River at Crooked Creek,2022,2022-05-08,128
71,7151,Kuskokwim River at Kalskag,2022,2022-05-08,128
72,7152,Kuskokwim River at Tuluksak,2022,2022-05-04,124
73,7154,Kuskokwim River at Napakiak,2022,2022-05-05,125
74,7155,Yukon River at Fort Yukon,2022,2022-05-10,130
75,7156,Yukon River at Galena,2022,2022-05-11,131
76,7157,Yukon River at Nulato,2022,2022-05-12,132
77,7158,Yukon River at Kaltag,2022,2022-05-12,132
78,7159,Yukon River at Pilot Station,2022,2022-05-09,129
79,7160,Yukon River nr Emmonak,2022,2022-05-15,135
80,7161,Yukon River at Alakanuk,2022,2022-05-15,135
81,7162,Gulkana River nr Gakona,2022,2022-05-07,127
82,7164,Kobuk River at Kobuk,2022,2022-05-17,137
83,7166,Yukon River at Anvik,2022,2022-05-18,138
84,7167,Kobuk River at Ambler,2022,2022-05-20,140
85,7168,Yukon River at Holy Cross,2022,2022-05-18,138
86,7169,Yukon River at Russian Mission,2022,2022-05-18,138
87,7170,Yukon River at Marshall,2022,2022-05-15,135
88,7171,Yukon River at Mountain Village,2022,2022-05-10,130
89,7172,Buckland River at Buckland,2022,2022-05-21,141
90,7173,Kobuk River at Shungnak,2022,2022-05-20,140
91,7174,Noatak River at Noatak,2022,2022-05-20,140
92,7175,Koyukuk River at Bettles,2022,2022-05-05,125
93,7176,Yukon River at Stevens Village,2022,2022-05-10,130
94,7177,Yukon River at Beaver,2022,2022-05-10,130
95,7182,Koyukuk River at Huslia,2022,2022-05-08,128
96,7038,Anchor River at Anchor Point,2021,2021-04-19,109
97,7039,Kuskokwim River at Nikolai,2021,2021-04-23,113
98,7042,Chisana River at Northway,2021,2021-04-26,116
99,7043,Gulkana River nr Gakona,2021,2021-04-28,118
100,7045,Kuskokwim River at Sleetmute,2021,2021-04-29,119
101,7046,Chena River at Fairbanks,2021,2021-04-27,117
102,7047,Tanana River at Nenana,2021,2021-04-30,120
103,7049,Gakona River at Gakona,2021,2021-04-26,116
104,7050,Kuskokwim River at Stony River,2021,2021-04-30,120
105,7051,Kuskokwim River at Red Devil,2021,2021-04-30,120
106,7052,Kuskokwim River at Crooked Creek,2021,2021-05-03,123
107,7054,Kuskokwim River at Aniak,2021,2021-05-03,123
108,7055,Susitna River at Sunshine,2021,2021-04-29,119
109,7056,Kuskokwim River at McGrath,2021,2021-05-04,124
110,7057,Kuskokwim River at Akiak,2021,2021-05-05,125
111,7058,Yukon River at Dawson,2021,2021-05-06,126
112,7059,Tanana River nr Manley Hot Springs,2021,2021-05-05,125
113,7060,Tanana River at Fairbanks D-S of Chena R,2021,2021-05-05,125
114,7061,Kuskokwim River at Kalskag,2021,2021-05-06,126
115,7062,Kuskokwim River at Bethel,2021,2021-05-06,126
116,7063,Kuskokwim River at Tuluksak,2021,2021-05-06,126
117,7065,Kuskokwim River at Napakiak,2021,2021-05-08,128
118,7066,Yukon River at Galena,2021,2021-05-09,129
119,7067,Yukon River at Eagle,2021,2021-05-08,128
120,7068,Yukon River at Ruby,2021,2021-05-08,128
121,7069,Yukon River at Tanana,2021,2021-05-07,127
122,7070,Koyukuk River at Bettles,2021,2021-05-09,129
123,7071,Yukon River at Circle,2021,2021-05-10,130
124,7072,Yukon River at Koyukuk,2021,2021-05-11,131
125,7073,Yukon River at Nulato,2021,2021-05-11,131
126,7074,Yukon River at Beaver,2021,2021-05-12,132
127,7076,Buckland River at Buckland,2021,2021-05-12,132
128,7077,Yukon River at Fort Yukon,2021,2021-05-11,131
129,7078,Koyukuk River at Allakaket,2021,2021-05-11,131
130,7079,Koyukuk River at Hughes,2021,2021-05-09,129
131,7080,Yukon River at Pilot Station,2021,2021-05-13,133
132,7081,Yukon River nr Emmonak,2021,2021-05-13,133
133,7083,Yukon River at Stevens Village,2021,2021-05-12,132
134,7084,Yukon River at Alakanuk,2021,2021-05-16,136
135,7085,Noatak River at Noatak,2021,2021-05-14,134
136,7086,Yukon River at Holy Cross,2021,2021-05-12,132
137,7087,Yukon River at Rampart,2021,2021-05-15,135
138,7088,Yukon River at Marshall,2021,2021-05-13,133
139,7089,Kobuk River at Ambler,2021,2021-05-13,133
140,7091,Kobuk River at Kobuk,2021,2021-05-11,131
141,7092,Kobuk River at Shungnak,2021,2021-05-12,132
142,7093,Yukon River at Kaltag,2021,2021-05-11,131
143,7094,Yukon River at Mountain Village,2021,2021-05-12,132
144,7095,Skwentna River at Skwentna,2021,2021-05-02,122
145,7098,Colville River at Umiat,2021,2021-05-28,148
146,7181,Koyukuk River at Huslia,2021,2021-05-09,129
147,6971,Kuskokwim River at Nikolai,2020,2020-04-21,112
148,6973,Chisana River at Northway,2020,2020-04-23,114
149,6976,Chena River at Fairbanks,2020,2020-04-21,112
150,6977,Tanana River at Nenana,2020,2020-04-27,118
151,6981,Gakona River at Gakona,2020,2020-04-26,117
152,6982,Gulkana River nr Gakona,2020,2020-04-24,115
153,6984,Anchor River at Anchor Point,2020,2020-04-20,111
154,6986,Kuskokwim River at Sleetmute,2020,2020-04-28,119
155,6987,Kuskokwim River at Red Devil,2020,2020-04-28,119
156,6988,Kuskokwim River at Crooked Creek,2020,2020-04-29,120
157,6990,Kuskokwim River at McGrath,2020,2020-05-02,123
158,6991,Yukon River at Dawson,2020,2020-05-03,124
159,6992,Kuskokwim River at Kalskag,2020,2020-05-04,125
160,6993,Kuskokwim River at Akiak,2020,2020-05-04,125
161,6994,Kuskokwim River at Tuluksak,2020,2020-05-04,125
162,6995,Kuskokwim River at Aniak,2020,2020-05-01,122
163,6999,Kuskokwim River at Bethel,2020,2020-05-03,124
164,7001,Yukon River at Eagle,2020,2020-05-05,126
165,7002,Yukon River at Ruby,2020,2020-05-06,127
166,7003,Tanana River nr Manley Hot Springs,2020,2020-05-01,122
167,7004,Yukon River at Circle,2020,2020-05-06,127
168,7005,Yukon River at Galena,2020,2020-05-07,128
169,7006,Skwentna River at Skwentna,2020,2020-04-30,121
170,7007,Yukon River at Beaver,2020,2020-05-08,129
171,7009,Yukon River at Tanana,2020,2020-05-07,128
172,7010,Yukon River at Koyukuk,2020,2020-05-08,129
173,7012,Koyukuk River at Bettles,2020,2020-05-09,130
174,7014,Koyukuk River at Allakaket,2020,2020-05-10,131
175,7015,Buckland River at Buckland,2020,2020-05-10,131
176,7016,Koyukuk River at Hughes,2020,2020-05-10,131
177,7017,Yukon River at Anvik,2020,2020-05-10,131
178,7018,Yukon River at Russian Mission,2020,2020-05-10,131
179,7019,Yukon River at Marshall,2020,2020-05-10,131
180,7020,Yukon River at Pilot Station,2020,2020-05-11,132
181,7021,Yukon River at Mountain Village,2020,2020-05-11,132
182,7022,Kobuk River at Kobuk,2020,2020-05-12,133
183,7024,Kobuk River at Shungnak,2020,2020-05-13,134
184,7025,Yukon River at Kaltag,2020,2020-05-07,128
185,7026,Yukon River at Holy Cross,2020,2020-05-06,127
186,7027,Yukon River at Fort Yukon,2020,2020-05-08,129
187,7028,Kobuk River at Ambler,2020,2020-05-15,136
188,7029,Yukon River nr Emmonak,2020,2020-05-14,135
189,7030,Yukon River at Alakanuk,2020,2020-05-14,135
190,7031,Kuskokwim River at Stony River,2020,2020-04-28,119
191,7032,Kuskokwim River at Napakiak,2020,2020-05-03,124
192,7036,Susitna River at Sunshine,2020,2020-05-01,122
193,7037,Yentna River at Lake Creek,2020,2020-04-30,121
194,7180,Koyukuk River at Huslia,2020,2020-05-10,131
195,6921,Kuskokwim River at Nikolai,2019,2019-03-31,90
196,6923,Chisana River at Northway,2019,2019-04-10,100
197,6925,Skwentna River at Skwentna,2019,2019-04-12,102
198,6926,Kuskokwim River at Bethel,2019,2019-04-12,102
199,6927,Tanana River at Nenana,2019,2019-04-14,104
200,6928,Kuskokwim River at Napakiak,2019,2019-04-14,104
201,6929,Yentna River at Lake Creek,2019,2019-04-15,105
202,6930,Tanana River at Fairbanks D-S of Chena R,2019,2019-04-15,105
203,6931,Susitna River at Sunshine,2019,2019-04-17,107
204,6932,Yukon River at Dawson,2019,2019-04-23,113
205,6933,Kuskokwim River at McGrath,2019,2019-04-28,118
206,6934,Kuskokwim River at Sleetmute,2019,2019-04-28,118
207,6935,Kuskokwim River at Crooked Creek,2019,2019-04-29,119
208,6936,Kuskokwim River at Red Devil,2019,2019-04-29,119
209,6937,Gakona River at Gakona,2019,2019-04-29,119
210,6938,Kuskokwim River at Aniak,2019,2019-04-29,119
211,6939,Kuskokwim River at Kalskag,2019,2019-04-29,119
212,6940,Kuskokwim River at Tuluksak,2019,2019-04-30,120
213,6941,Tanana River nr Manley Hot Springs,2019,2019-04-30,120
214,6942,Yukon River at Eagle,2019,2019-05-01,121
215,6943,Kuskokwim River at Akiak,2019,2019-04-26,116
216,6944,Kuskokwim River at Stony River,2019,2019-04-28,118
217,6945,Buckland River at Buckland,2019,2019-05-05,125
218,6946,Yukon River at Holy Cross,2019,2019-05-05,125
219,6947,Yukon River at Marshall,2019,2019-05-05,125
220,6948,Yukon River at Russian Mission,2019,2019-05-05,125
221,6949,Yukon River at Tanana,2019,2019-05-05,125
222,6950,Yukon River at Galena,2019,2019-05-09,129
223,6951,Yukon River at Kaltag,2019,2019-05-12,132
224,6952,Yukon River nr Emmonak,2019,2019-05-08,128
225,6953,Yukon River at Ruby,2019,2019-05-08,128
226,6959,Yukon River at Mountain Village,2019,2019-05-08,128
227,6956,Yukon River at Koyukuk,2019,2019-05-08,128
228,6957,Yukon River at Circle,2019,2019-05-09,129
229,6960,Yukon River at Pilot Station,2019,2019-05-07,127
230,6961,Koyukuk River at Huslia,2019,2019-05-12,132
231,6962,Koyukuk River at Hughes,2019,2019-05-12,132
232,6963,Yukon River at Fort Yukon,2019,2019-05-11,131
233,6964,Yukon River at Beaver,2019,2019-05-12,132
234,6965,Yukon River at Stevens Village,2019,2019-05-12,132
235,6966,Yukon River at Rampart,2019,2019-05-12,132
236,6967,Kobuk River at Kobuk,2019,2019-05-14,134
237,6968,Koyukuk River at Bettles,2019,2019-05-14,134
238,6969,Colville River at Umiat,2019,2019-05-18,138
239,6970,Colville River at Colville Village,2019,2019-05-27,147
240,7179,Koyukuk River at Allakaket,2019,2019-05-13,133
241,6865,Anchor River at Anchor Point,2018,2018-04-11,101
242,6867,Kuskokwim River at Nikolai,2018,2018-04-24,114
243,6868,Chisana River at Northway,2018,2018-04-25,115
244,6871,Kuskokwim River at Red Devil,2018,2018-04-29,119
245,6872,Kuskokwim River at Sleetmute,2018,2018-04-29,119
246,6873,Kuskokwim River at Crooked Creek,2018,2018-04-29,119
247,6874,Kuskokwim River at Aniak,2018,2018-05-01,121
248,6875,Kuskokwim River at Kalskag,2018,2018-05-05,125
249,6876,Kuskokwim River at Bethel,2018,2018-05-02,122
250,6878,Kuskokwim River at Stony River,2018,2018-05-02,122
251,6879,Kuskokwim River at Tuluksak,2018,2018-05-04,124
252,6880,Skwentna River at Skwentna,2018,2018-05-03,123
253,6881,Yentna River at Lake Creek,2018,2018-05-03,123
254,6882,Kuskokwim River at Akiak,2018,2018-05-04,124
255,6883,Susitna River at Sunshine,2018,2018-05-04,124
256,6884,Kuskokwim River at Napakiak,2018,2018-05-05,125
257,6885,Gakona River at Gakona,2018,2018-05-06,126
258,6886,Gulkana River nr Gakona,2018,2018-05-06,126
259,6887,Yukon River at Dawson,2018,2018-05-08,128
260,6888,Yukon River at Eagle,2018,2018-05-08,128
261,6889,Kuskokwim River at McGrath,2018,2018-05-09,129
262,6890,Yukon River at Tanana,2018,2018-05-07,127
263,6891,Tanana River nr Manley Hot Springs,2018,2018-05-08,128
264,6893,Yukon River at Circle,2018,2018-05-10,130
265,6894,Koyukuk River at Bettles,2018,2018-05-11,131
266,6895,Yukon River at Galena,2018,2018-05-12,132
267,6896,Yukon River at Fort Yukon,2018,2018-05-12,132
268,6897,Yukon River at Ruby,2018,2018-05-12,132
269,6898,Buckland River at Buckland,2018,2018-05-12,132
270,6899,Koyukuk River at Allakaket,2018,2018-05-11,131
271,6900,Koyukuk River at Huslia,2018,2018-05-13,133
272,6901,Yukon River at Beaver,2018,2018-05-12,132
273,6902,Yukon River at Stevens Village,2018,2018-05-11,131
274,6903,Yukon River at Rampart,2018,2018-05-12,132
275,6904,Koyukuk River at Hughes,2018,2018-05-11,131
276,6905,Yukon River at Nulato,2018,2018-05-12,132
277,6906,Tanana River at Nenana,2018,2018-05-01,121
278,6907,Yukon River at Kaltag,2018,2018-05-14,134
279,6908,Yukon River at Anvik,2018,2018-05-15,135
280,6909,Yukon River at Holy Cross,2018,2018-05-16,136
281,6910,Yukon River at Russian Mission,2018,2018-05-14,134
282,6911,Yukon River at Marshall,2018,2018-05-15,135
283,6912,Yukon River at Pilot Station,2018,2018-05-13,133
284,6913,Yukon River at Mountain Village,2018,2018-05-14,134
285,6914,Kobuk River at Kobuk,2018,2018-05-11,131
286,6915,Kobuk River at Shungnak,2018,2018-05-16,136
287,6916,Kobuk River at Ambler,2018,2018-05-16,136
288,6917,Noatak River at Noatak,2018,2018-05-11,131
289,6919,Colville River at Colville Village,2018,2018-06-05,156
290,6920,Chena River at Fairbanks,2018,2018-04-25,115
291,6777,Yentna River at Lake Creek,2017,2017-04-26,116
292,6771,Anchor River at Anchor Point,2017,2017-04-13,103
293,6772,Kuskokwim River at Nikolai,2017,2017-04-23,113
294,6773,Skwentna River at Skwentna,2017,2017-04-24,114
295,6775,Yentna River at Fish Creek,2017,2017-04-25,115
296,6776,Kuskokwim River at Stony River,2017,2017-04-26,116
297,6779,Gakona River at Gakona,2017,2017-04-27,117
298,6780,Gulkana River nr Gakona,2017,2017-04-27,117
299,6781,Chena River at Fairbanks,2017,2017-04-29,119
300,6782,Tanana River at Fairbanks D-S of Chena R,2017,2017-05-01,121
301,6783,Tanana River at Nenana,2017,2017-05-01,121
302,6785,Kuskokwim River at McGrath,2017,2017-05-04,124
303,6786,Kuskokwim River at Sleetmute,2017,2017-04-27,117
304,6787,Kuskokwim River at Red Devil,2017,2017-04-28,118
305,6788,Kuskokwim River at Crooked Creek,2017,2017-05-03,123
306,6789,Kuskokwim River at Aniak,2017,2017-05-03,123
307,6790,Kuskokwim River at Kalskag,2017,2017-05-04,124
308,6791,Kuskokwim River at Tuluksak,2017,2017-05-07,127
309,6792,Kuskokwim River at Akiak,2017,2017-05-07,127
310,6794,Kuskokwim River at Bethel,2017,2017-05-06,126
311,6795,Kuskokwim River at Napakiak,2017,2017-05-08,128
312,6796,Yukon River at Dawson,2017,2017-05-03,123
313,6797,Yukon River at Eagle,2017,2017-05-04,124
314,6798,Yukon River at Circle,2017,2017-05-08,128
315,6799,Yukon River at Fort Yukon,2017,2017-05-11,131
316,6800,Yukon River at Beaver,2017,2017-05-12,132
317,6801,Yukon River at Stevens Village,2017,2017-05-13,133
318,6802,Yukon River at Rampart,2017,2017-05-13,133
319,6803,Yukon River at Tanana,2017,2017-05-10,130
320,6804,Yukon River at Ruby,2017,2017-05-09,129
321,6805,Yukon River at Galena,2017,2017-05-11,131
322,6806,Yukon River at Koyukuk,2017,2017-05-11,131
323,6807,Yukon River at Nulato,2017,2017-05-12,132
324,6808,Yukon River at Kaltag,2017,2017-05-10,130
325,6809,Yukon River at Anvik,2017,2017-05-11,131
326,6810,Yukon River at Holy Cross,2017,2017-05-06,126
327,6811,Yukon River at Russian Mission,2017,2017-05-06,126
328,6812,Yukon River at Marshall,2017,2017-05-10,130
329,6813,Yukon River at Pilot Station,2017,2017-05-05,125
330,6814,Yukon River at Mountain Village,2017,2017-05-11,131
331,6815,Yukon River at Alakanuk,2017,2017-05-14,134
